ID,Year,Month,Identifier,Total
200401,2004,1,200401,643
200402,2004,2,200402,1401
200403,2004,3,200403,3105
200404,2004,4,200404,15554
200405,2004,5,200405,16860
200406,2004,6,200406,19295
200407,2004,7,200407,31891
200408,2004,8,200408,45601
200409,2004,9,200409,22752
200410,2004,10,200410,14556
200411,2004,11,200411,4410
200412,2004,12,200412,3802
200501,2005,1,200501,269
200502,2005,2,200502,565
200503,2005,3,200503,3121
200504,2005,4,200504,3307
200505,2005,5,200505,9310
200506,2005,6,200506,12619
200507,2005,7,200507,18804
200508,2005,8,200508,24831
200509,2005,9,200509,12168
200510,2005,10,200510,6873
200511,2005,11,200511,1388
200512,2005,12,200512,668
200601,2006,1,200601,324
200602,2006,2,200602,351
200603,2006,3,200603,1096
200604,2006,4,200604,7451
200605,2006,5,200605,10147
200606,2006,6,200606,13011
200607,2006,7,200607,18720
200608,2006,8,200608,26183
200609,2006,9,200609,13470
200610,2006,10,200610,7700
200611,2006,11,200611,1755
200612,2006,12,200612,848
200701,2007,1,200701,350
200702,2007,2,200702,665
200703,2007,3,200703,1680
200704,2007,4,200704,8115
200705,2007,5,200705,12924
200706,2007,6,200706,15182
200707,2007,7,200707,20156
200708,2007,8,200708,27289
200709,2007,9,200709,15282
200710,2007,10,200710,9443
200711,2007,11,200711,2496
200712,2007,12,200712,795
200801,2008,1,200801,306
200802,2008,2,200802,703
200803,2008,3,200803,5327
200804,2008,4,200804,5648
200805,2008,5,200805,16001
200806,2008,6,200806,15904
200807,2008,7,200807,21066
200808,2008,8,200808,29996
200809,2008,9,200809,17378
200810,2008,10,200810,9878
200811,2008,11,200811,2309
200812,2008,12,200812,1085
200901,2009,1,200901,523
200902,2009,2,200902,698
200903,2009,3,200903,1850
200904,2009,4,200904,10316
200905,2009,5,200905,16498
200906,2009,6,200906,19354
200907,2009,7,200907,26752
200908,2009,8,200908,35546
200909,2009,9,200909,20623
200910,2009,10,200910,11731
200911,2009,11,200911,2353
200912,2009,12,200912,1010
201001,2010,1,201001,1188
201002,2010,2,201002,1640
201003,2010,3,201003,5883
201004,2010,4,201004,19587
201005,2010,5,201005,28846
201006,2010,6,201006,33756
201007,2010,7,201007,42466
201008,2010,8,201008,61534
201009,2010,9,201009,36848
201010,2010,10,201010,26598
201011,2010,11,201011,8075
201012,2010,12,201012,5967
201101,2011,1,201101,644
201102,2011,2,201102,820
201103,2011,3,201103,3023
201104,2011,4,201104,14154
201105,2011,5,201105,19805
201106,2011,6,201106,25239
201107,2011,7,201107,30842
201108,2011,8,201108,41489
201109,2011,9,201109,26023
201110,2011,10,201110,16243
201111,2011,11,201111,3591
201112,2011,12,201112,1498
201201,2012,1,201201,872
201202,2012,2,201202,1305
201203,2012,3,201203,3260
201204,2012,4,201204,14749
201205,2012,5,201205,21776
201206,2012,6,201206,25517
201207,2012,7,201207,32818
201208,2012,8,201208,41096
201209,2012,9,201209,27321
201210,2012,10,201210,18091
201211,2012,11,201211,4170
201212,2012,12,201212,1483
201301,2013,1,201301,806
201302,2013,2,201302,1382
201303,2013,3,201303,7228
201304,2013,4,201304,11532
201305,2013,5,201305,25205
201306,2013,6,201306,29374
201307,2013,7,201307,36559
201308,2013,8,201308,46726
201309,2013,9,201309,30894
201310,2013,10,201310,19607
201311,2013,11,201311,4907
201312,2013,12,201312,1659
201401,2014,1,201401,906
201402,2014,2,201402,970
201403,2014,3,201403,3150
201404,2014,4,201404,17347
201405,2014,5,201405,27354
201406,2014,6,201406,33021
201407,2014,7,201407,39581
201408,2014,8,201408,51218
201409,2014,9,201409,34457
201410,2014,10,201410,23205
201411,2014,11,201411,4803
201412,2014,12,201412,1870
201501,2015,1,201501,1217
201502,2015,2,201502,1544
201503,2015,3,201503,5080
201504,2015,4,201504,17721
201505,2015,5,201505,31076
201506,2015,6,201506,35923
201507,2015,7,201507,44794
201508,2015,8,201508,54794
201509,2015,9,201509,37429
201510,2015,10,201510,25576
201511,2015,11,201511,5228
201512,2015,12,201512,2062
201601,2016,1,201601,1304
201602,2016,2,201602,1733
201603,2016,3,201603,11067
201604,2016,4,201604,15100
201605,2016,5,201605,32776
201606,2016,6,201606,39070
201607,2016,7,201607,45471
201608,2016,8,201608,53704
201609,2016,9,201609,40149
201610,2016,10,201610,28222
201611,2016,11,201611,6394
201612,2016,12,201612,2864
201701,2017,1,201701,1354
201702,2017,2,201702,1696
201703,2017,3,201703,5176
201704,2017,4,201704,26925
201705,2017,5,201705,35347
201706,2017,6,201706,41619
201707,2017,7,201707,47470
201708,2017,8,201708,57680
201709,2017,9,201709,42189
201710,2017,10,201710,31341
201711,2017,11,201711,7346
201712,2017,12,201712,2893
201801,2018,1,201801,1627
201802,2018,2,201802,2181
201803,2018,3,201803,11056
201804,2018,4,201804,22068
201805,2018,5,201805,40665
201806,2018,6,201806,45685
201807,2018,7,201807,50867
201808,2018,8,201808,60415
201809,2018,9,201809,47006
201810,2018,10,201810,35602
201811,2018,11,201811,7651
201812,2018,12,201812,2553
201901,2019,1,201901,1651
201902,2019,2,201902,2119
201903,2019,3,201903,7474
201904,2019,4,201904,31722
201905,2019,5,201905,46673
201906,2019,6,201906,49058
201907,2019,7,201907,53319
201908,2019,8,201908,62814
201909,2019,9,201909,45653
201910,2019,10,201910,36118
201911,2019,11,201911,8274
201912,2019,12,201912,2710
202001,2020,1,202001,2001
202002,2020,2,202002,3076
202003,2020,3,202003,1948
202006,2020,6,202006,12
202007,2020,7,202007,9752
202008,2020,8,202008,19812
202009,2020,9,202009,10441
202010,2020,10,202010,6418
202011,2020,11,202011,585
202012,2020,12,202012,99
202101,2021,1,202101,60
202102,2021,2,202102,14
202103,2021,3,202103,194
202104,2021,4,202104,1024
202105,2021,5,202105,4295
202106,2021,6,202106,14824
202107,2021,7,202107,33963
202108,2021,8,202108,43575
202109,2021,9,202109,37463
202110,2021,10,202110,31170
202111,2021,11,202111,9094
202112,2021,12,202112,1193
202201,2022,1,202201,1617
202202,2022,2,202202,2034
202203,2022,3,202203,7389
202204,2022,4,202204,34283
202205,2022,5,202205,48254
202206,2022,6,202206,58012
202207,2022,7,202207,67374
202208,2022,8,202208,85842
202209,2022,9,202209,66196
202210,2022,10,202210,51356
202211,2022,11,202211,11283
202212,2022,12,202212,4683
202301,2023,1,202301,2028
202302,2023,2,202302,2856
202304,2023,4,202304,24176
